subject,cond,note1,note2,resp,rt
manu,1,4,1,-1,441
manu,1,1,3,1,362
manu,1,0,11,-1,401
manu,1,7,5,-1,350
manu,1,9,7,-1,421
manu,1,9,10,1,371
manu,1,10,6,-1,810
manu,1,2,10,-1,841
manu,1,11,3,1,450
manu,1,3,2,-1,408
manu,1,0,11,-1,920
manu,1,9,5,1,390
manu,1,1,5,1,2972
manu,1,5,6,1,510
manu,1,7,8,1,480
manu,1,6,9,1,781
manu,1,0,4,-1,3305
manu,1,3,0,-1,403
manu,1,2,4,1,550
manu,1,10,8,-1,581
manu,1,8,11,1,462
manu,1,3,0,-1,1478
manu,1,11,1,1,615
manu,1,5,8,1,706
manu,2,1,6,1,2884
manu,2,10,4,1,2301
manu,2,2,9,1,2774
manu,2,8,3,-1,4795
manu,2,6,11,1,941
manu,2,9,3,-1,2154
manu,2,3,10,-1,1443
manu,2,0,6,1,1101
manu,2,0,6,1,590
manu,2,1,6,1,2311
manu,2,11,4,1,691
manu,2,8,2,1,1983
manu,2,9,4,-1,1110
manu,2,9,2,1,1941
manu,2,7,1,-1,1300
manu,2,1,7,-1,1924
manu,2,5,11,1,2224
manu,2,8,2,1,771
manu,2,8,1,1,2605
manu,2,11,5,1,962
manu,2,10,5,1,1472
manu,2,1,8,-1,1023
manu,2,7,2,-1,1211
manu,2,0,5,1,750
manu,2,7,1,-1,1251
manu,2,6,11,1,385
manu,2,7,2,1,2660
manu,2,4,9,1,911
manu,2,0,7,-1,1142
manu,2,10,4,1,850
manu,2,4,9,-1,1672
manu,2,2,8,-1,614
manu,2,0,5,1,820
manu,2,5,10,-1,651
manu,2,2,8,-1,591
manu,2,10,3,1,300
manu,2,3,9,-1,261
manu,2,2,7,-1,771
manu,2,1,8,-1,775
manu,2,0,5,1,350
manu,2,7,2,1,1090
manu,2,11,4,1,940
manu,2,9,4,1,2225
manu,2,11,4,1,501
manu,2,1,8,-1,1402
manu,2,10,3,1,1331
manu,2,5,10,-1,670
manu,2,9,4,1,702
manu,2,3,9,-1,631
manu,2,8,2,1,545
manu,2,3,10,-1,470
manu,2,5,0,-1,540
manu,2,5,11,-1,1000
manu,2,11,5,1,4982
manu,2,5,11,-1,1227
manu,2,9,2,1,1501
manu,2,8,1,1,580
manu,2,11,6,1,3620
manu,2,4,10,-1,631
manu,2,6,1,-1,1093
manu,2,11,5,1,790
manu,2,3,8,-1,1240
manu,2,6,1,1,2512
manu,2,0,7,-1,442
manu,2,7,0,1,1791
manu,2,6,0,1,871
manu,2,5,0,1,4469
manu,2,2,7,-1,861
manu,2,7,1,1,490
manu,2,11,6,-1,2811
manu,2,3,8,1,980
manu,2,7,0,1,1502
manu,2,4,11,-1,863
manu,2,4,9,-1,930
manu,2,7,0,1,332
manu,2,1,7,-1,2342
manu,2,3,8,-1,1848
manu,2,4,11,-1,1102
manu,2,4,10,-1,421
manu,2,6,1,1,561
manu,2,6,0,1,1471
manu,2,2,8,-1,611
manu,2,1,7,-1,524
manu,2,10,4,1,491
manu,2,5,10,-1,1051
manu,2,3,10,-1,3481
manu,2,10,5,1,801
manu,2,2,9,-1,1551
manu,2,4,11,-1,332
manu,2,2,7,-1,400
manu,2,9,3,1,291
manu,2,2,9,-1,712
manu,2,10,5,1,715
manu,2,8,3,-1,380
manu,2,1,6,1,1394
manu,2,10,3,1,580
manu,2,3,9,-1,822
manu,2,11,6,1,910
manu,2,6,0,-1,1161
manu,2,0,7,1,600
manu,2,9,3,1,456
manu,2,8,3,1,472
manu,2,9,2,1,1003
manu,2,6,11,-1,1547
manu,2,0,6,-1,3181
manu,2,4,10,-1,385
manu,2,5,0,-1,1321
manu,2,8,1,1,235
manu,3,3,10,-1,1500
manu,3,11,5,1,502
manu,3,3,9,-1,301
manu,3,10,4,1,270
manu,3,10,3,1,421
manu,3,10,3,1,1281
manu,3,8,3,1,3120
manu,3,11,4,1,831
manu,3,1,7,1,1484
manu,3,3,10,-1,781
manu,3,8,1,1,963
manu,3,7,2,1,1120
manu,3,3,8,-1,1583
manu,3,4,9,-1,752
manu,3,5,0,-1,402
manu,3,7,0,-1,2320
manu,3,0,6,1,860
manu,3,11,5,1,572
manu,3,8,2,1,711
manu,3,3,8,-1,1212
manu,3,8,3,1,2201
manu,3,9,2,1,1252
manu,3,3,10,-1,211
manu,3,6,11,1,687
manu,3,1,6,-1,591
manu,3,10,5,1,2771
manu,3,7,2,1,760
manu,3,9,4,1,1041
manu,3,11,6,1,471
manu,3,3,9,-1,1140
manu,3,10,3,1,2341
manu,3,6,11,1,323
manu,3,6,1,1,412
manu,3,0,5,1,4273
manu,3,0,5,1,581
manu,3,2,9,-1,890
manu,3,6,0,1,1072
manu,3,2,8,-1,441
manu,3,7,2,1,341
manu,3,6,11,1,921
manu,3,9,4,1,852
manu,3,2,9,-1,822
manu,3,4,10,-1,1113
manu,3,5,10,-1,1263
manu,3,5,10,-1,593
manu,3,11,6,1,282
manu,3,3,8,-1,311
manu,3,11,5,1,250
manu,3,2,7,1,1210
manu,3,4,11,-1,420
manu,3,4,9,-1,816
manu,3,5,11,-1,350
manu,3,10,5,1,321
manu,3,4,10,-1,451
manu,3,8,2,1,961
manu,3,9,4,1,2043
manu,3,6,1,-1,662
manu,3,2,9,-1,471
manu,3,6,1,-1,381
manu,3,1,7,1,321
manu,3,9,3,1,402
manu,3,10,5,1,870
manu,3,8,3,1,1897
manu,3,2,7,-1,450
manu,3,11,4,1,482
manu,3,7,0,1,451
manu,3,9,3,1,345
manu,3,9,3,1,154
manu,3,6,0,1,431
manu,3,11,4,1,878
manu,3,2,8,-1,641
manu,3,0,5,1,3335
manu,3,2,7,1,1190
manu,3,8,1,1,2612
manu,3,6,0,1,701
manu,3,8,1,1,261
manu,3,9,2,1,381
manu,3,1,8,-1,1221
manu,3,4,11,-1,1221
manu,3,0,6,-1,6648
manu,3,5,10,1,6839
manu,3,1,6,1,490
manu,3,4,11,-1,300
manu,3,5,11,-1,511
manu,3,9,2,1,180
manu,3,3,9,-1,810
manu,3,2,8,-1,511
manu,3,0,7,-1,550
manu,3,1,6,-1,580
manu,3,7,0,1,180
manu,3,5,0,1,340
manu,3,10,4,1,1541
manu,3,7,1,1,200
manu,3,1,8,-1,421
manu,3,0,7,-1,660
manu,3,11,6,-1,290
manu,3,0,7,-1,250
manu,3,8,2,1,112
manu,3,5,11,1,351
manu,3,1,8,-1,110
manu,3,4,10,-1,191
manu,3,0,6,-1,210
manu,3,4,9,-1,300
manu,3,1,7,-1,221
manu,3,10,4,1,270
manu,3,7,1,1,310
manu,3,5,0,1,240
manu,3,7,1,1,260
